what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1399913150154
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399913185055
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399913186001
closed,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399913186625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913194908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913201035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913201166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913209290
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAs",1399913209434
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1399913212273
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1399913212329
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1399913212417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913212516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913221428
error,log,,,"Unhandled event loop exception",1399913221508
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1399913226872
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1399913226893
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1399913226931
error,log,,,"Unable to resource a selected resource: ${selected_resource_loc}",1399913227023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913227102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913230244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913235219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913238361
error,log,,,"Unhandled event loop exception",1399913238396
activated,view,org.python.pydev.debug,2.8.2.2013090511,"org.python.pydev.debug.pyunit.pyUnitView",1399913241562
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1399913263474
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399913265234
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399913289107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913304588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913309790
executed,command,com.python.pydev,2.8.2.2013090511,"org.python.pydev.interactiveconsole.evaluateActionSetter",1399913309864
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399913310064
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399913397969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399913433844
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399913437396
executed,command,com.python.pydev,2.8.2.2013090511,"org.python.pydev.interactiveconsole.evaluateActionSetter",1399913437399
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399913463897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913973954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399913974028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399914077107
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399914102251
executed,command,com.python.pydev,2.8.2.2013090511,"org.python.pydev.interactiveconsole.evaluateActionSetter",1399914102255
activated,editor,org.python.pydev,2.8.2.2013090511,"org.python.pydev.editor.PythonEditor",1399914145152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1399914148970
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1399914151980
executed,command,com.python.pydev,2.8.2.2013090511,"org.python.pydev.interactiveconsole.evaluateActionSetter",1399914151984
