what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351723180646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723231831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723232954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351723239195
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1351723244439
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1351723246467
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723246555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723251709
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351723251818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723254767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723336812
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351723340256
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723388946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723478917
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351723478948
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351723567568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351723580451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723581697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723589485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351723712015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723713076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723722748
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1351723724667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723727669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723730748
executed,command,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools.ExternalToolMenuDelegateToolbar",1351723733094
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723733212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723734923
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351723738058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351723756684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723757760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723759149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351723769367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723769710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723771708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351723776325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723776965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723778463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351723976171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351724445155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351724474126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351724632470
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1351724632517
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351724636620
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351724636682
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351724636682
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1351724636714
closed,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1351724636729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.closeAll",1351724636760
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1351724640941
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351724641066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.exit",1351724643922
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1353944443711
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1353944443713
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1353944443714
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1353944443727
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1353944443732
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1353944443733
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1353944443734
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1353944443736
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1353944443737
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1353944443738
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1353944443777
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1353944443778
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1353944443779
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1353944443779
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1353944443786
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1353944443788
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1353944443789
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1353944443797
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1353944443809
