what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1396202473750
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1396202473770
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1396202473788
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1396202473841
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1396202473941
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1396202473980
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1396202473985
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1396202473986
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1396202474070
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1396202474125
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1396202474170
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1396202474200
started,bundle,com.aptana.shared_core,2.7.1.2012100913,"com.aptana.shared_core",1396202474201
started,bundle,com.python.pydev.analysis,2.7.1.2012100913,"com.python.pydev.analysis",1396202474202
started,bundle,org.python.pydev,2.7.1.2012100913,"org.python.pydev",1396202474260
started,bundle,org.python.pydev.core,2.7.1.2012100913,"org.python.pydev.core",1396202474269
started,bundle,org.python.pydev.parser,2.7.1.2012100913,"org.python.pydev.parser",1396202474275
started,bundle,goclipse,0.7.2.v418,"goclipse",1396202474276
os,sysinfo,,,"win32",1396202474282
arch,sysinfo,,,"x86_64",1396202474282
ws,sysinfo,,,"win32",1396202474282
locale,sysinfo,,,"en_US",1396202474282
processors,sysinfo,,,"2",1396202474282
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1396202474282
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1396202474282
java.specification.name,sysinfo,,,"Java Platform API Specification",1396202474282
java.specification.vendor,sysinfo,,,"Oracle Corporation",1396202474282
java.specification.version,sysinfo,,,"1.7",1396202474282
java.vendor,sysinfo,,,"Oracle Corporation",1396202474282
java.version,sysinfo,,,"1.7.0_03",1396202474282
java.vm.info,sysinfo,,,"mixed mode",1396202474282
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1396202474282
